	記号,一般,*,*,*,*,*
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
同	接頭詞,名詞接続,*,*,*,*,同,ドウ,ドー
項	名詞,一般,*,*,*,*,項,コウ,コー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
適用	名詞,サ変接続,*,*,*,*,適用,テキヨウ,テキヨー
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
訂正	名詞,サ変接続,*,*,*,*,訂正,テイセイ,テイセイ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
二十	名詞,一般,*,*,*,*,*,*,*,wikipedia
六条	名詞,一般,*,*,*,*,*,*,*,wikipedia
　	記号,空白,*,*,*,*,　,　,　
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
取扱	名詞,一般,*,*,*,*,*,*,*,wikipedia
事業者	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
、	記号,読点,*,*,*,*,、,、,、
当該	名詞,一般,*,*,*,*,当該,トウガイ,トーガイ
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
識別	名詞,サ変接続,*,*,*,*,識別,シキベツ,シキベツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
事実	名詞,一般,*,*,*,*,*,*,*,wikipedia
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
理由	名詞,一般,*,*,*,*,*,*,*,wikipedia
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
当該	名詞,一般,*,*,*,*,当該,トウガイ,トーガイ
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
訂正	名詞,サ変接続,*,*,*,*,訂正,テイセイ,テイセイ
、	記号,読点,*,*,*,*,、,、,、
追加	名詞,サ変接続,*,*,*,*,追加,ツイカ,ツイカ
又は	名詞,一般,*,*,*,*,*,*,*,wikipedia
削除	名詞,一般,*,*,*,*,*,*,*,wikipedia
（	記号,括弧開,*,*,*,*,（,（,（
以下	名詞,一般,*,*,*,*,*,*,*,wikipedia
この	連体詞,*,*,*,*,*,この,コノ,コノ
条	名詞,一般,*,*,*,*,条,ジョウ,ジョー
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
「	記号,括弧開,*,*,*,*,「,「,「
訂正	名詞,サ変接続,*,*,*,*,訂正,テイセイ,テイセイ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
求め	動詞,自立,*,*,一段,未然形,求める,モトメ,モトメ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
訂正	名詞,サ変接続,*,*,*,*,訂正,テイセイ,テイセイ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
に関して	助詞,格助詞,連語,*,*,*,に関して,ニカンシテ,ニカンシテ
他	名詞,一般,*,*,*,*,他,タ,タ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
法令	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
特別	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
手続	名詞,サ変接続,*,*,*,*,手続,テツヅキ,テツズキ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
定め	動詞,自立,*,*,一段,未然形,定める,サダメ,サダメ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
除き	動詞,自立,*,*,五段・カ行イ音便,連用形,除く,ノゾキ,ノゾキ
、	記号,読点,*,*,*,*,、,、,、
利用	名詞,一般,*,*,*,*,*,*,*,wikipedia
目的	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
達成	名詞,サ変接続,*,*,*,*,達成,タッセイ,タッセイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
範囲	名詞,一般,*,*,*,*,*,*,*,wikipedia
内	名詞,接尾,一般,*,*,*,内,ナイ,ナイ
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
、	記号,読点,*,*,*,*,、,、,、
遅滞	名詞,サ変接続,*,*,*,*,遅滞,チタイ,チタイ
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
調査	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行い	動詞,自立,*,*,五段・ワ行促音便,連用形,行う,オコナイ,オコナイ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
結果	名詞,一般,*,*,*,*,*,*,*,wikipedia
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
基づき	動詞,自立,*,*,五段・カ行イ音便,連用形,基づく,モトヅキ,モトズキ
、	記号,読点,*,*,*,*,、,、,、
当該	名詞,一般,*,*,*,*,当該,トウガイ,トーガイ
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
訂正	名詞,サ変接続,*,*,*,*,訂正,テイセイ,テイセイ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行わ	動詞,自立,*,*,五段・ワ行促音便,未然形,行う,オコナワ,オコナワ
なけれ	助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
なら	動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
２	名詞,数,*,*,*,*,２,ニ,ニ
　	記号,空白,*,*,*,*,　,　,　
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
取扱	名詞,一般,*,*,*,*,*,*,*,wikipedia
事業者	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
前項	名詞,一般,*,*,*,*,前項,ゼンコウ,ゼンコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
基づき	動詞,自立,*,*,五段・カ行イ音便,連用形,基づく,モトヅキ,モトズキ
求め	動詞,自立,*,*,一段,未然形,求める,モトメ,モトメ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
全部	名詞,一般,*,*,*,*,*,*,*,wikipedia
若しくは	接続詞,*,*,*,*,*,若しくは,モシクハ,モシクワ
一部	名詞,一般,*,*,*,*,*,*,*,wikipedia
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
訂正	名詞,サ変接続,*,*,*,*,訂正,テイセイ,テイセイ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,行う,オコナッ,オコナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
、	記号,読点,*,*,*,*,、,、,、
又は	名詞,一般,*,*,*,*,*,*,*,wikipedia
訂正	名詞,サ変接続,*,*,*,*,訂正,テイセイ,テイセイ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行わ	動詞,自立,*,*,五段・ワ行促音便,未然形,行う,オコナワ,オコナワ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
旨	名詞,非自立,一般,*,*,*,旨,ムネ,ムネ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
決定	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン
に対し	助詞,格助詞,連語,*,*,*,に対し,ニタイシ,ニタイシ
、	記号,読点,*,*,*,*,、,、,、
遅滞	名詞,サ変接続,*,*,*,*,遅滞,チタイ,チタイ
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
旨	名詞,非自立,一般,*,*,*,旨,ムネ,ムネ
（	記号,括弧開,*,*,*,*,（,（,（
訂正	名詞,サ変接続,*,*,*,*,訂正,テイセイ,テイセイ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,行う,オコナッ,オコナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含む	動詞,自立,*,*,五段・マ行,基本形,含む,フクム,フクム
。	記号,句点,*,*,*,*,。,。,。
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
通知	名詞,一般,*,*,*,*,*,*,*,wikipedia
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
なけれ	助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
なら	動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
利用	名詞,一般,*,*,*,*,*,*,*,wikipedia
停止	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
）	記号,括弧閉,*,*,*,*,）,）,）
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
二十	名詞,一般,*,*,*,*,*,*,*,wikipedia
七条	名詞,一般,*,*,*,*,*,*,*,wikipedia
　	記号,空白,*,*,*,*,　,　,　
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
取扱	名詞,一般,*,*,*,*,*,*,*,wikipedia
事業者	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
、	記号,読点,*,*,*,*,、,、,、
当該	名詞,一般,*,*,*,*,当該,トウガイ,トーガイ
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
識別	名詞,サ変接続,*,*,*,*,識別,シキベツ,シキベツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
六条	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
違反	名詞,一般,*,*,*,*,*,*,*,wikipedia
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
取り扱わ	動詞,自立,*,*,五段・ワ行促音便,未然形,取り扱う,トリアツカワ,トリアツカワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
理由	名詞,一般,*,*,*,*,*,*,*,wikipedia
又は	名詞,一般,*,*,*,*,*,*,*,wikipedia
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
七条	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
違反	名詞,一般,*,*,*,*,*,*,*,wikipedia
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
取得	名詞,サ変接続,*,*,*,*,取得,シュトク,シュトク
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
理由	名詞,一般,*,*,*,*,*,*,*,wikipedia
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
、	記号,読点,*,*,*,*,、,、,、
当該	名詞,一般,*,*,*,*,当該,トウガイ,トーガイ
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
利用	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
停止	名詞,一般,*,*,*,*,*,*,*,wikipedia
又は	名詞,一般,*,*,*,*,*,*,*,wikipedia
消去	名詞,一般,*,*,*,*,*,*,*,wikipedia
（	記号,括弧開,*,*,*,*,（,（,（
以下	名詞,一般,*,*,*,*,*,*,*,wikipedia
この	連体詞,*,*,*,*,*,この,コノ,コノ
条	名詞,一般,*,*,*,*,条,ジョウ,ジョー
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
「	記号,括弧開,*,*,*,*,「,「,「
利用	名詞,一般,*,*,*,*,*,*,*,wikipedia
停止	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
求め	動詞,自立,*,*,一段,未然形,求める,モトメ,モトメ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
求め	名詞,一般,*,*,*,*,求め,モトメ,モトメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
理由	名詞,一般,*,*,*,*,*,*,*,wikipedia
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
判明	名詞,サ変接続,*,*,*,*,判明,ハンメイ,ハンメイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
違反	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
是正	名詞,サ変接続,*,*,*,*,是正,ゼセイ,ゼセイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
限度	名詞,一般,*,*,*,*,*,*,*,wikipedia
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
遅滞	名詞,サ変接続,*,*,*,*,遅滞,チタイ,チタイ
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
、	記号,読点,*,*,*,*,、,、,、
当該	名詞,一般,*,*,*,*,当該,トウガイ,トーガイ
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
利用	名詞,一般,*,*,*,*,*,*,*,wikipedia
停止	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行わ	動詞,自立,*,*,五段・ワ行促音便,未然形,行う,オコナワ,オコナワ
なけれ	助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
なら	動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
ただし	接続詞,*,*,*,*,*,ただし,タダシ,タダシ
、	記号,読点,*,*,*,*,、,、,、
当該	名詞,一般,*,*,*,*,当該,トウガイ,トーガイ
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
利用	名詞,一般,*,*,*,*,*,*,*,wikipedia
停止	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
多額	名詞,一般,*,*,*,*,多額,タガク,タガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
費用	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
要する	動詞,自立,*,*,サ変・－スル,基本形,要する,ヨウスル,ヨースル
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
その他	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
利用	名詞,一般,*,*,*,*,*,*,*,wikipedia
停止	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
困難	名詞,形容動詞語幹,*,*,*,*,困難,コンナン,コンナン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
場合	名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
権利	名詞,一般,*,*,*,*,*,*,*,wikipedia
利益	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
保護	名詞,サ変接続,*,*,*,*,保護,ホゴ,ホゴ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
代わる	動詞,自立,*,*,五段・ラ行,基本形,代わる,カワル,カワル
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
措置	名詞,サ変接続,*,*,*,*,措置,ソチ,ソチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
とる	動詞,自立,*,*,五段・ラ行,基本形,とる,トル,トル
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
この	連体詞,*,*,*,*,*,この,コノ,コノ
限り	名詞,非自立,副詞可能,*,*,*,限り,カギリ,カギリ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
２	名詞,数,*,*,*,*,２,ニ,ニ
　	記号,空白,*,*,*,*,　,　,　
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
取扱	名詞,一般,*,*,*,*,*,*,*,wikipedia
事業者	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
、	記号,読点,*,*,*,*,、,、,、
当該	名詞,一般,*,*,*,*,当該,トウガイ,トーガイ
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
識別	名詞,サ変接続,*,*,*,*,識別,シキベツ,シキベツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
